old_path,new_path,capture_timestamp,capture_date,camera_slug,make,model,width,height
public/to sort/DSC02831_VSCO.JPG,mkjr_20240417_sony-ilce-7cm2_001.jpg,2024-04-17 07:50:27 +0000,20240417,sony-ilce-7cm2,SONY,ILCE-7CM2,4108,6168
public/to sort/DSC03210_VSCO.JPG,mkjr_20240417_sony-ilce-7cm2_002.jpg,2024-04-17 21:44:58 +0000,20240417,sony-ilce-7cm2,SONY,ILCE-7CM2,4672,7008
public/to sort/DSC09504_VSCO.JPG,mkjr_20240803_sony-ilce-7cm2_001.jpg,2024-08-03 10:52:21 +0000,20240803,sony-ilce-7cm2,SONY,ILCE-7CM2,3717,5581
public/to sort/F8706AC2-CBDD-496B-9B74-C0F3B7E4A19F.JPG,mkjr_20230623_canon-eos-7d_003.jpg,2023-06-23 20:44:18 +0000,20230623,canon-eos-7d,Canon,Canon EOS 7D,2592,3888
public/to sort/IMG_0088.JPG,mkjr_20161118_panasonic-dmc-gf7_001.jpg,2016-11-18 05:46:46 +0000,20161118,panasonic-dmc-gf7,Panasonic,DMC-GF7,3448,4592
public/to sort/IMG_0184.JPG,mkjr_20190625_canon-eos-7d_003.jpg,2019-06-25 23:51:15 +0000,20190625,canon-eos-7d,Canon,Canon EOS 7D,1734,2592
public/to sort/IMG_8756.jpg,mkjr_20211023_canon-eos-7d_001.jpg,2021-10-23 09:30:29 +0000,20211023,canon-eos-7d,Canon,Canon EOS 7D,2523,3817
public/to sort/IMG_9377.jpg,mkjr_20220422_canon-eos-7d_001.jpg,2022-04-22 14:00:21 +0000,20220422,canon-eos-7d,Canon,Canon EOS 7D,2312,3479
public/to sort/IMG_9394.jpg,mkjr_20220422_canon-eos-7d_002.jpg,2022-04-22 14:10:37 +0000,20220422,canon-eos-7d,Canon,Canon EOS 7D,2214,3330
public/to sort/IMG_9447.jpg,mkjr_20220423_canon-eos-7d_001.jpg,2022-04-23 11:55:58 +0000,20220423,canon-eos-7d,Canon,Canon EOS 7D,2592,3888
public/to sort/IMG_9553.jpg,mkjr_20220425_canon-eos-7d_001.jpg,2022-04-25 07:39:09 +0000,20220425,canon-eos-7d,Canon,Canon EOS 7D,2279,3584
